Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,4.350000,4.380000,4.165000,4.260000,4.260000,1354800
2020-04-17,4.470000,4.470000,4.220000,4.400000,4.400000,1278100
2020-04-20,4.350000,4.590000,4.330000,4.520000,4.520000,1433400
2020-04-21,4.420000,4.580000,4.360000,4.400000,4.400000,1045400
2020-04-22,4.450000,4.480000,4.260000,4.280000,4.280000,767500
2020-04-23,4.240000,4.480000,4.220000,4.380000,4.380000,639900
2020-04-24,4.380000,4.621000,4.310000,4.560000,4.560000,976300
2020-04-27,4.550000,4.750000,4.550000,4.640000,4.640000,1142700
2020-04-28,4.750000,4.770000,4.330000,4.340000,4.340000,1478700
2020-04-29,4.540000,4.540000,4.310000,4.380000,4.380000,1149600
2020-04-30,4.280000,4.400000,4.170000,4.300000,4.300000,1162800
2020-05-01,4.160000,4.220000,3.855000,3.980000,3.980000,1435900
2020-05-04,3.960000,4.170000,3.950000,4.170000,4.170000,2748500
2020-05-05,4.250000,4.420000,4.150000,4.400000,4.400000,1323400
2020-05-06,4.400000,4.490000,4.260000,4.350000,4.350000,754300
2020-05-07,4.350000,4.555000,4.310000,4.480000,4.480000,1992300
2020-05-08,4.450000,4.510000,4.290000,4.380000,4.380000,1092700
2020-05-11,4.350000,4.995000,4.350000,4.840000,4.840000,2130200
2020-05-12,4.930000,5.165000,4.770000,4.770000,4.770000,2416800
2020-05-13,4.810000,4.830000,4.320000,4.440000,4.440000,2606200
2020-05-14,4.290000,4.470000,4.260000,4.390000,4.390000,1598500
2020-05-15,4.430000,4.440000,4.240000,4.280000,4.280000,1393900
2020-05-18,4.400000,4.480000,4.331000,4.420000,4.420000,1519800
2020-05-19,4.600000,4.665000,4.370000,4.380000,4.380000,2299700
2020-05-20,4.680000,4.710000,4.320000,4.390000,4.390000,2495100
2020-05-21,4.610000,4.950000,4.460000,4.550000,4.550000,13235600
2020-05-22,4.740000,4.780000,4.500000,4.660000,4.660000,11744300
2020-05-26,4.800000,4.830000,4.540000,4.590000,4.590000,2826000
2020-05-27,4.600000,4.650000,4.320000,4.580000,4.580000,2762000
2020-05-28,4.640000,4.680000,4.410000,4.460000,4.460000,1846700
2020-05-29,4.450000,4.520000,4.265000,4.440000,4.440000,6508600
2020-06-01,4.420000,4.680000,4.350000,4.560000,4.560000,2460300
2020-06-02,4.590000,4.690000,4.480000,4.630000,4.630000,3063300
2020-06-03,4.640000,4.710000,4.310000,4.310000,4.310000,2215700
2020-06-04,4.320000,4.480000,4.180000,4.370000,4.370000,2758200
2020-06-05,4.450000,4.665000,4.370000,4.480000,4.480000,2128800
2020-06-08,4.480000,4.720000,4.450000,4.650000,4.650000,2216800
2020-06-09,4.650000,4.760000,4.590000,4.640000,4.640000,1530500
2020-06-10,4.670000,4.780000,4.610000,4.710000,4.710000,1887900
2020-06-11,4.600000,4.680000,4.420000,4.460000,4.460000,1908200
2020-06-12,4.620000,4.690000,4.380000,4.570000,4.570000,2026400
2020-06-15,4.490000,4.660000,4.385000,4.620000,4.620000,1961800
2020-06-16,4.680000,4.710000,4.470000,4.700000,4.700000,1760000
2020-06-17,4.710000,4.770000,4.600000,4.620000,4.620000,1211500
2020-06-18,4.670000,4.900000,4.600000,4.800000,4.800000,1732800
2020-06-19,4.870000,4.880000,4.610000,4.610000,4.610000,7002300
2020-06-22,4.630000,4.660000,4.380000,4.610000,4.610000,2253900
2020-06-23,4.680000,5.280000,4.610000,5.230000,5.230000,5206700
2020-06-24,5.180000,5.500000,5.100000,5.190000,5.190000,3277500
2020-06-25,5.140000,5.430000,5.030000,5.260000,5.260000,2312100
2020-06-26,5.180000,5.320000,5.100000,5.180000,5.180000,4360400
2020-06-29,5.300000,5.324000,4.990000,5.170000,5.170000,2458200
2020-06-30,5.150000,5.170000,5.005000,5.120000,5.120000,4721400
2020-07-01,5.100000,5.200000,4.810000,4.810000,4.810000,2882000
2020-07-02,4.850000,4.880000,4.670000,4.720000,4.720000,1820300
2020-07-06,4.770000,4.840000,4.560000,4.580000,4.580000,2315400
2020-07-07,4.560000,4.900000,4.539000,4.730000,4.730000,2242900
2020-07-08,4.750000,4.805000,4.655000,4.700000,4.700000,2210300
2020-07-09,4.700000,4.820000,4.290000,4.290000,4.290000,4298400
2020-07-10,4.300000,4.330000,4.100000,4.210000,4.210000,3459400
2020-07-13,4.180000,4.290000,4.100000,4.100000,4.100000,2079900
2020-07-14,4.120000,4.290000,4.100000,4.270000,4.270000,1889900
2020-07-15,4.370000,4.440000,4.255000,4.360000,4.360000,1623400
2020-07-16,4.270000,4.300000,4.150000,4.150000,4.150000,2429100
2020-07-17,4.150000,4.181000,4.030000,4.070000,4.070000,1600900
2020-07-20,4.100000,4.215000,4.030000,4.140000,4.140000,1113000
2020-07-21,4.140000,4.230000,4.050000,4.050000,4.050000,1489100
2020-07-22,4.030000,4.040000,3.870000,3.950000,3.950000,3528600
2020-07-23,3.900000,4.020000,3.832000,3.850000,3.850000,2420200
